diff --git a/dist/practice/users.txt b/dist/practice/users.txt
new file mode 100644
index 0000000000000000000000000000000000000000..2aeae60ef3930346624db5740aacc4548f286ec4
--- /dev/null
+++ b/dist/practice/users.txt
@@ -0,0 +1,1001 @@
+Имя | Увлечения | Возраст | Профессия
+Алексей | [чтение, садоводство] | 52 | врач
+Наталья | [чтение] | 26 | дизайнер
+Наталья | [шахматы, путешествия] | 48 | дизайнер
+Мария | [путешествия] | 34 | дизайнер
+Владимир | [чтение, путешествия, кодинг] | 49 | разработчик
+Наталья | [кодинг] | 23 | учитель
+Екатерина | [садоводство, спорт] | 51 | экономист
+Татьяна | [путешествия, кодинг, садоводство] | 37 | аналитик данных
+Сергей | [фотография] | 34 | разработчик
+Анна | [чтение] | 53 | разработчик
+Татьяна | [чтение, путешествия] | 46 | дизайнер
+Наталья | [фотография] | 36 | дизайнер
+Николай | [путешествия, кулинария] | 58 | учитель
+Екатерина | [спорт, чтение] | 59 | врач
+Мария | [кулинария, фотография, чтение] | 28 | инженер
+Михаил | [садоводство, фотография] | 37 | экономист
+Иван | [шахматы, кулинария] | 56 | аналитик данных
+Николай | [чтение] | 19 | разработчик
+Николай | [садоводство] | 54 | аналитик данных
+Михаил | [кодинг, шахматы, фотография] | 35 | врач
+Иван | [шахматы, спорт] | 48 | маркетолог
+Ольга | [садоводство, спорт] | 28 | маркетолог
+Владимир | [путешествия, спорт] | 53 | аналитик данных
+Николай | [чтение, шахматы] | 38 | разработчик
+Михаил | [шахматы] | 44 | аналитик данных
+Светлана | [фотография] | 58 | дизайнер
+Николай | [садоводство, шахматы] | 53 | врач
+Светлана | [фотография, шахматы, путешествия] | 25 | аналитик данных
+Наталья | [кодинг, чтение, путешествия] | 53 | аналитик данных
+Ольга | [спорт, фотография, шахматы] | 47 | разработчик
+Наталья | [садоводство, фотография] | 50 | инженер
+Екатерина | [фотография, кулинария] | 47 | врач
+Дмитрий | [шахматы, кодинг] | 22 | инженер
+Николай | [кулинария, кодинг, садоводство] | 18 | инженер
+Светлана | [садоводство, спорт, кодинг] | 27 | дизайнер
+Владимир | [фотография] | 47 | маркетолог
+Владимир | [шахматы] | 32 | экономист
+Светлана | [спорт, фотография, чтение] | 42 | экономист
+Дмитрий | [садоводство] | 50 | маркетолог
+Ольга | [спорт] | 51 | дизайнер
+Татьяна | [садоводство] | 59 | врач
+Николай | [путешествия, кодинг, спорт] | 39 | экономист
+Владимир | [чтение, кулинария, садоводство] | 38 | дизайнер
+Екатерина | [путешествия] | 58 | инженер
+Татьяна | [спорт, шахматы] | 24 | разработчик
+Наталья | [чтение, спорт] | 19 | аналитик данных
+Ирина | [фотография] | 41 | экономист
+Татьяна | [спорт] | 54 | врач
+Иван | [фотография, садоводство, кулинария] | 57 | экономист
+Дмитрий | [кулинария, фотография, спорт] | 32 | дизайнер
+Алексей | [спорт, чтение, фотография] | 47 | инженер
+Ирина | [кодинг, шахматы, спорт] | 55 | инженер
+Михаил | [садоводство, чтение] | 37 | учитель
+Екатерина | [кулинария, шахматы, спорт] | 42 | маркетолог
+Алексей | [чтение, кулинария] | 60 | экономист
+Мария | [фотография, кулинария] | 56 | дизайнер
+Ирина | [кулинария, шахматы, кодинг] | 32 | учитель
+Дмитрий | [чтение, спорт, фотография] | 58 | разработчик
+Мария | [спорт, чтение, садоводство] | 55 | маркетолог
+Павел | [спорт] | 44 | врач
+Ирина | [кулинария] | 51 | инженер
+Светлана | [садоводство] | 36 | маркетолог
+Иван | [кодинг, садоводство, кулинария] | 27 | учитель
+Ирина | [кулинария] | 23 | экономист
+Ольга | [кулинария, садоводство, фотография] | 47 | маркетолог
+Ирина | [чтение, кулинария] | 24 | учитель
+Павел | [путешествия, шахматы, фотография] | 57 | учитель
+Наталья | [спорт] | 59 | экономист
+Мария | [путешествия, чтение] | 20 | инженер
+Екатерина | [садоводство, спорт] | 52 | врач
+Татьяна | [путешествия, кодинг] | 55 | врач
+Светлана | [чтение, шахматы] | 57 | экономист
+Ирина | [фотография, кодинг] | 31 | дизайнер
+Ирина | [шахматы, чтение, фотография] | 24 | маркетолог
+Николай | [путешествия, шахматы] | 30 | разработчик
+Сергей | [шахматы] | 59 | аналитик данных
+Екатерина | [фотография] | 26 | учитель
+Сергей | [чтение] | 32 | маркетолог
+Николай | [кулинария, кодинг, путешествия] | 27 | врач
+Ольга | [чтение] | 60 | аналитик данных
+Ирина | [спорт] | 33 | маркетолог
+Николай | [кодинг, кулинария, чтение] | 21 | врач
+Иван | [путешествия, фотография] | 48 | дизайнер
+Екатерина | [кулинария, фотография, шахматы] | 57 | аналитик данных
+Алексей | [кодинг, шахматы] | 21 | дизайнер
+Ольга | [путешествия] | 49 | дизайнер
+Павел | [спорт] | 56 | врач
+Николай | [кулинария, фотография] | 57 | маркетолог
+Татьяна | [фотография, садоводство, кодинг] | 24 | разработчик
+Екатерина | [кодинг, фотография] | 44 | маркетолог
+Ольга | [кулинария, спорт] | 38 | экономист
+Дмитрий | [путешествия] | 48 | разработчик
+Иван | [шахматы, кодинг, путешествия] | 45 | разработчик
+Мария | [путешествия, фотография, спорт] | 55 | маркетолог
+Татьяна | [кулинария, спорт, чтение] | 21 | инженер
+Сергей | [путешествия] | 27 | дизайнер
+Ирина | [кулинария] | 53 | маркетолог
+Екатерина | [кулинария, чтение, путешествия] | 45 | аналитик данных
+Николай | [чтение, путешествия] | 37 | маркетолог
+Дмитрий | [спорт] | 54 | экономист
+Алексей | [кодинг, фотография] | 23 | учитель
+Павел | [шахматы, кодинг] | 28 | маркетолог
+Иван | [чтение] | 21 | врач
+Иван | [кодинг, фотография, кулинария] | 35 | дизайнер
+Михаил | [путешествия] | 44 | инженер
+Ирина | [садоводство, кулинария] | 45 | разработчик
+Наталья | [чтение, садоводство] | 20 | учитель
+Сергей | [кулинария] | 37 | учитель
+Наталья | [садоводство] | 38 | разработчик
+Татьяна | [фотография, кулинария] | 29 | врач
+Ирина | [чтение, фотография, садоводство] | 22 | экономист
+Михаил | [кодинг, кулинария, фотография] | 22 | маркетолог
+Татьяна | [чтение, спорт] | 36 | разработчик
+Анна | [шахматы, чтение, фотография] | 57 | дизайнер
+Ольга | [кодинг, кулинария, чтение] | 33 | экономист
+Владимир | [шахматы] | 37 | маркетолог
+Анна | [фотография, кодинг, спорт] | 22 | разработчик
+Ирина | [путешествия] | 59 | врач
+Дмитрий | [спорт] | 34 | учитель
+Иван | [садоводство, шахматы] | 29 | дизайнер
+Павел | [садоводство] | 58 | маркетолог
+Иван | [кулинария, кодинг, спорт] | 48 | дизайнер
+Мария | [садоводство, фотография] | 40 | разработчик
+Мария | [путешествия, шахматы] | 21 | маркетолог
+Иван | [чтение, фотография] | 57 | экономист
+Сергей | [спорт, чтение, фотография] | 38 | дизайнер
+Ольга | [спорт, чтение, путешествия] | 39 | разработчик
+Михаил | [шахматы, спорт] | 46 | врач
+Владимир | [чтение, кодинг, шахматы] | 44 | маркетолог
+Павел | [кодинг] | 22 | маркетолог
+Наталья | [путешествия, кулинария] | 34 | врач
+Дмитрий | [кодинг, путешествия, кулинария] | 40 | инженер
+Иван | [шахматы, кодинг, путешествия] | 37 | экономист
+Иван | [шахматы, чтение, спорт] | 59 | экономист
+Наталья | [садоводство, путешествия] | 29 | учитель
+Екатерина | [кулинария] | 26 | врач
+Ольга | [шахматы, кодинг, кулинария] | 50 | аналитик данных
+Дмитрий | [спорт] | 56 | экономист
+Анна | [садоводство, чтение, фотография] | 57 | врач
+Ирина | [кулинария, кодинг, шахматы] | 33 | дизайнер
+Михаил | [садоводство, кодинг] | 32 | учитель
+Сергей | [кулинария, кодинг] | 41 | дизайнер
+Владимир | [фотография] | 50 | экономист
+Дмитрий | [садоводство, кодинг, спорт] | 34 | аналитик данных
+Ольга | [путешествия, кодинг] | 51 | разработчик
+Анна | [спорт, кодинг, фотография] | 35 | дизайнер
+Иван | [чтение, фотография] | 32 | дизайнер
+Мария | [кодинг] | 43 | маркетолог
+Иван | [шахматы] | 41 | учитель
+Ольга | [спорт] | 59 | маркетолог
+Мария | [спорт, кодинг, шахматы] | 36 | дизайнер
+Светлана | [чтение] | 46 | аналитик данных
+Николай | [кодинг, чтение, спорт] | 31 | врач
+Екатерина | [фотография] | 37 | разработчик
+Татьяна | [путешествия] | 58 | дизайнер
+Светлана | [фотография, шахматы, путешествия] | 56 | аналитик данных
+Наталья | [шахматы, путешествия, кулинария] | 45 | аналитик данных
+Татьяна | [шахматы, чтение, кулинария] | 29 | разработчик
+Алексей | [кодинг] | 42 | дизайнер
+Ирина | [путешествия, спорт] | 34 | аналитик данных
+Екатерина | [шахматы, путешествия, чтение] | 60 | разработчик
+Ирина | [спорт, кодинг, шахматы] | 52 | маркетолог
+Михаил | [путешествия] | 48 | врач
+Михаил | [чтение] | 20 | инженер
+Сергей | [кодинг, садоводство] | 20 | маркетолог
+Светлана | [фотография, спорт, кодинг] | 34 | аналитик данных
+Мария | [путешествия, кодинг] | 59 | маркетолог
+Ирина | [садоводство, фотография, спорт] | 45 | экономист
+Анна | [кулинария, кодинг] | 49 | дизайнер
+Иван | [спорт, кулинария] | 45 | разработчик
+Наталья | [шахматы] | 38 | разработчик
+Наталья | [кодинг, путешествия, шахматы] | 37 | дизайнер
+Михаил | [шахматы] | 40 | дизайнер
+Татьяна | [кодинг] | 35 | аналитик данных
+Ирина | [спорт] | 50 | врач
+Михаил | [фотография] | 20 | врач
+Ирина | [чтение, кулинария, путешествия] | 41 | экономист
+Михаил | [путешествия, кулинария] | 41 | маркетолог
+Дмитрий | [шахматы, садоводство] | 51 | маркетолог
+Николай | [спорт] | 33 | разработчик
+Светлана | [путешествия, спорт, кодинг] | 51 | экономист
+Михаил | [садоводство, путешествия, чтение] | 31 | инженер
+Дмитрий | [садоводство] | 22 | дизайнер
+Иван | [путешествия, кулинария, кодинг] | 38 | маркетолог
+Наталья | [спорт, кодинг, садоводство] | 37 | врач
+Екатерина | [фотография] | 25 | учитель
+Светлана | [шахматы, фотография, кулинария] | 19 | маркетолог
+Дмитрий | [кулинария] | 57 | разработчик
+Владимир | [путешествия, садоводство] | 48 | экономист
+Павел | [садоводство, шахматы] | 59 | разработчик
+Ирина | [кодинг] | 26 | врач
+Мария | [спорт, путешествия] | 25 | врач
+Павел | [кулинария, кодинг, чтение] | 32 | маркетолог
+Николай | [кулинария] | 30 | инженер
+Иван | [спорт, путешествия, шахматы] | 50 | врач
+Павел | [путешествия] | 54 | аналитик данных
+Мария | [фотография, кодинг, кулинария] | 59 | инженер
+Татьяна | [кулинария, шахматы] | 57 | аналитик данных
+Наталья | [кодинг, спорт, фотография] | 48 | учитель
+Иван | [кодинг, фотография] | 21 | врач
+Михаил | [спорт, садоводство, шахматы] | 31 | маркетолог
+Павел | [шахматы] | 40 | экономист
+Ольга | [путешествия, спорт] | 38 | учитель
+Михаил | [чтение] | 33 | врач
+Наталья | [спорт] | 42 | экономист
+Павел | [спорт] | 54 | маркетолог
+Светлана | [кулинария, фотография] | 50 | дизайнер
+Алексей | [садоводство, путешествия, кодинг] | 23 | экономист
+Ирина | [садоводство, кулинария] | 21 | аналитик данных
+Светлана | [кодинг] | 36 | аналитик данных
+Дмитрий | [шахматы, чтение] | 34 | маркетолог
+Владимир | [кулинария, чтение] | 21 | учитель
+Владимир | [кулинария, кодинг, садоводство] | 50 | дизайнер
+Ольга | [шахматы, кодинг] | 26 | разработчик
+Павел | [фотография] | 53 | маркетолог
+Владимир | [чтение] | 50 | аналитик данных
+Дмитрий | [садоводство, путешествия, кулинария] | 39 | дизайнер
+Дмитрий | [кодинг] | 38 | маркетолог
+Наталья | [садоводство, шахматы, кулинария] | 55 | маркетолог
+Наталья | [шахматы, садоводство] | 48 | аналитик данных
+Ольга | [чтение, кулинария, фотография] | 44 | инженер
+Николай | [чтение, кулинария, фотография] | 59 | учитель
+Анна | [фотография] | 51 | экономист
+Мария | [чтение] | 54 | разработчик
+Михаил | [кодинг] | 38 | экономист
+Сергей | [чтение, шахматы, путешествия] | 44 | дизайнер
+Сергей | [садоводство, кулинария, фотография] | 53 | маркетолог
+Павел | [шахматы, кулинария, спорт] | 29 | дизайнер
+Николай | [фотография] | 57 | дизайнер
+Николай | [кулинария] | 53 | инженер
+Наталья | [садоводство, спорт] | 31 | дизайнер
+Николай | [кодинг, фотография, спорт] | 36 | разработчик
+Дмитрий | [путешествия, спорт] | 36 | аналитик данных
+Михаил | [садоводство, путешествия, кодинг] | 59 | инженер
+Николай | [путешествия] | 53 | инженер
+Екатерина | [фотография, шахматы, путешествия] | 33 | аналитик данных
+Мария | [садоводство, чтение] | 24 | экономист
+Дмитрий | [садоводство, фотография] | 18 | врач
+Сергей | [чтение, кодинг] | 36 | маркетолог
+Иван | [чтение, путешествия, фотография] | 59 | учитель
+Анна | [спорт, шахматы] | 20 | экономист
+Наталья | [путешествия, спорт] | 20 | аналитик данных
+Наталья | [садоводство] | 47 | дизайнер
+Николай | [спорт, шахматы] | 30 | разработчик
+Михаил | [спорт, чтение, шахматы] | 59 | инженер
+Павел | [кодинг] | 36 | учитель
+Татьяна | [кодинг] | 50 | маркетолог
+Ольга | [шахматы, путешествия] | 29 | врач
+Алексей | [садоводство] | 34 | экономист
+Николай | [чтение, спорт, шахматы] | 39 | инженер
+Ирина | [путешествия, фотография, спорт] | 33 | аналитик данных
+Анна | [путешествия, шахматы, спорт] | 43 | инженер
+Ирина | [спорт] | 57 | учитель
+Светлана | [шахматы, фотография, садоводство] | 27 | дизайнер
+Светлана | [путешествия] | 52 | учитель
+Михаил | [путешествия] | 51 | маркетолог
+Мария | [спорт, путешествия, садоводство] | 53 | учитель
+Михаил | [садоводство, чтение, кулинария] | 25 | учитель
+Михаил | [кодинг] | 21 | дизайнер
+Михаил | [садоводство, шахматы, спорт] | 54 | аналитик данных
+Алексей | [фотография] | 43 | инженер
+Иван | [путешествия, кулинария] | 20 | экономист
+Мария | [кулинария] | 22 | дизайнер
+Татьяна | [кодинг, спорт, фотография] | 29 | врач
+Михаил | [спорт] | 42 | экономист
+Ирина | [кодинг, кулинария, путешествия] | 25 | врач
+Екатерина | [садоводство, шахматы] | 18 | аналитик данных
+Татьяна | [фотография] | 52 | экономист
+Михаил | [фотография, шахматы] | 40 | врач
+Ольга | [чтение, путешествия, кодинг] | 20 | экономист
+Иван | [чтение, путешествия] | 24 | аналитик данных
+Мария | [фотография] | 43 | дизайнер
+Мария | [шахматы] | 26 | инженер
+Павел | [фотография] | 33 | инженер
+Татьяна | [спорт] | 37 | инженер
+Татьяна | [шахматы] | 53 | дизайнер
+Владимир | [кодинг, фотография, путешествия] | 51 | маркетолог
+Наталья | [садоводство, путешествия, кодинг] | 42 | врач
+Наталья | [кодинг] | 27 | дизайнер
+Татьяна | [фотография, спорт] | 53 | врач
+Сергей | [шахматы, чтение] | 39 | разработчик
+Сергей | [чтение, кодинг] | 21 | инженер
+Иван | [фотография, кодинг] | 30 | учитель
+Павел | [фотография] | 37 | аналитик данных
+Ольга | [фотография, садоводство, путешествия] | 48 | учитель
+Павел | [шахматы, спорт] | 36 | экономист
+Николай | [путешествия, кодинг] | 41 | дизайнер
+Светлана | [шахматы, фотография] | 38 | учитель
+Мария | [спорт, чтение, садоводство] | 54 | учитель
+Татьяна | [шахматы] | 36 | врач
+Екатерина | [шахматы, спорт] | 42 | учитель
+Светлана | [спорт, шахматы] | 59 | дизайнер
+Ирина | [садоводство, путешествия, кулинария] | 28 | врач
+Мария | [чтение] | 51 | аналитик данных
+Алексей | [фотография, чтение, шахматы] | 44 | врач
+Дмитрий | [садоводство, спорт, чтение] | 18 | учитель
+Светлана | [чтение] | 60 | дизайнер
+Татьяна | [кулинария, садоводство, спорт] | 18 | аналитик данных
+Алексей | [путешествия] | 50 | экономист
+Ольга | [фотография] | 51 | врач
+Николай | [путешествия, спорт] | 40 | инженер
+Владимир | [фотография, спорт, шахматы] | 47 | учитель
+Иван | [кодинг] | 59 | аналитик данных
+Владимир | [чтение] | 42 | дизайнер
+Анна | [шахматы, кулинария] | 23 | дизайнер
+Ольга | [фотография] | 51 | аналитик данных
+Светлана | [кулинария] | 35 | аналитик данных
+Мария | [фотография] | 29 | маркетолог
+Дмитрий | [спорт, кулинария] | 43 | разработчик
+Екатерина | [шахматы, фотография, садоводство] | 54 | экономист
+Дмитрий | [путешествия] | 23 | маркетолог
+Татьяна | [кодинг, садоводство] | 32 | разработчик
+Павел | [садоводство, путешествия] | 19 | инженер
+Ирина | [спорт, шахматы] | 53 | экономист
+Владимир | [путешествия] | 23 | инженер
+Иван | [спорт, шахматы] | 35 | врач
+Владимир | [путешествия] | 38 | маркетолог
+Алексей | [кулинария, чтение] | 37 | дизайнер
+Дмитрий | [садоводство, кулинария] | 23 | врач
+Татьяна | [шахматы] | 24 | аналитик данных
+Иван | [чтение, спорт] | 56 | маркетолог
+Татьяна | [фотография, кулинария, кодинг] | 42 | разработчик
+Анна | [кулинария] | 42 | врач
+Наталья | [путешествия] | 35 | дизайнер
+Анна | [кулинария, фотография] | 45 | инженер
+Иван | [садоводство] | 41 | инженер
+Сергей | [кулинария] | 47 | разработчик
+Алексей | [кодинг, садоводство, спорт] | 43 | маркетолог
+Михаил | [спорт, садоводство, кодинг] | 39 | экономист
+Сергей | [кодинг] | 48 | маркетолог
+Павел | [фотография, спорт, садоводство] | 36 | дизайнер
+Николай | [фотография] | 43 | маркетолог
+Анна | [садоводство, шахматы, путешествия] | 53 | аналитик данных
+Михаил | [садоводство, путешествия] | 36 | разработчик
+Наталья | [спорт, шахматы, фотография] | 33 | инженер
+Владимир | [садоводство, кулинария, фотография] | 22 | дизайнер
+Татьяна | [путешествия, чтение] | 52 | аналитик данных
+Екатерина | [чтение] | 60 | маркетолог
+Владимир | [чтение] | 39 | экономист
+Ольга | [фотография, садоводство, спорт] | 34 | учитель
+Владимир | [чтение, фотография] | 47 | врач
+Ольга | [путешествия] | 36 | экономист
+Дмитрий | [садоводство, кодинг] | 40 | инженер
+Сергей | [садоводство, чтение] | 51 | дизайнер
+Михаил | [кулинария] | 46 | маркетолог
+Мария | [путешествия, шахматы] | 25 | аналитик данных
+Анна | [спорт, садоводство, кулинария] | 33 | врач
+Татьяна | [спорт, путешествия] | 47 | учитель
+Татьяна | [фотография, садоводство, кулинария] | 43 | аналитик данных
+Татьяна | [фотография, путешествия, спорт] | 42 | аналитик данных
+Иван | [спорт, садоводство, кодинг] | 54 | разработчик
+Сергей | [садоводство, кулинария] | 47 | разработчик
+Павел | [кодинг, кулинария, чтение] | 56 | экономист
+Ирина | [спорт, кодинг, шахматы] | 40 | дизайнер
+Наталья | [спорт, садоводство, чтение] | 57 | разработчик
+Екатерина | [шахматы] | 37 | разработчик
+Дмитрий | [спорт, кулинария] | 50 | экономист
+Владимир | [спорт, кулинария] | 45 | врач
+Анна | [спорт] | 49 | инженер
+Павел | [чтение, фотография] | 46 | аналитик данных
+Дмитрий | [садоводство, фотография, шахматы] | 30 | экономист
+Светлана | [спорт, чтение] | 44 | дизайнер
+Алексей | [кулинария] | 32 | инженер
+Екатерина | [садоводство] | 52 | инженер
+Светлана | [путешествия, спорт, кулинария] | 53 | разработчик
+Ирина | [садоводство, кулинария, путешествия] | 52 | аналитик данных
+Татьяна | [чтение, фотография] | 24 | учитель
+Николай | [путешествия, кодинг] | 40 | разработчик
+Екатерина | [кодинг, путешествия, кулинария] | 31 | маркетолог
+Дмитрий | [шахматы] | 31 | учитель
+Николай | [кулинария, спорт] | 56 | врач
+Николай | [кодинг] | 50 | разработчик
+Мария | [спорт, путешествия, кодинг] | 35 | врач
+Павел | [спорт, кулинария] | 33 | экономист
+Николай | [садоводство, чтение] | 58 | экономист
+Иван | [шахматы, фотография, кодинг] | 43 | инженер
+Павел | [путешествия, шахматы, фотография] | 55 | аналитик данных
+Ирина | [кодинг] | 22 | экономист
+Сергей | [кулинария, спорт] | 49 | инженер
+Дмитрий | [чтение, садоводство] | 54 | дизайнер
+Ольга | [путешествия] | 58 | дизайнер
+Анна | [кодинг] | 46 | дизайнер
+Сергей | [кулинария] | 26 | инженер
+Иван | [путешествия, спорт] | 59 | маркетолог
+Анна | [кулинария, шахматы, кодинг] | 21 | экономист
+Екатерина | [путешествия, чтение, садоводство] | 45 | разработчик
+Светлана | [фотография, кулинария, шахматы] | 22 | врач
+Михаил | [шахматы, кодинг, чтение] | 18 | аналитик данных
+Татьяна | [фотография] | 26 | дизайнер
+Владимир | [шахматы] | 23 | разработчик
+Ирина | [спорт, шахматы] | 37 | врач
+Дмитрий | [спорт, фотография, садоводство] | 22 | аналитик данных
+Сергей | [садоводство, кодинг] | 58 | врач
+Сергей | [путешествия] | 23 | разработчик
+Владимир | [спорт, путешествия] | 40 | экономист
+Николай | [кулинария] | 59 | разработчик
+Алексей | [фотография] | 60 | инженер
+Владимир | [садоводство] | 36 | аналитик данных
+Владимир | [путешествия, кулинария] | 25 | учитель
+Алексей | [кодинг] | 41 | маркетолог
+Татьяна | [путешествия, чтение] | 41 | врач
